,outils
941,open sesam|eprime|pielsurvey|movisens|limesurvey|r|excel|kubios
942,surveymonkey|limesurvey|eprime|spss|excel
944,qualtrics|spss|r|word
946,word|excel|umap|qgis|wisemapping
953,fostex|roland|glottal enterprises|soundforge|matlab
969,adobe|office
971,eprime|psychopy|r|processing|mousetracker|logiciels maison|r|python|java|c|c++|latex|powerpoint
974,excel|spss|traitement de texte
981,word
984,qgis|r|arcgis|powerpoint|paint
985,camscanner|nvivo|excel
987,excel|word|abdobe illustrator|excel
988,word|nvivo|quicktime player|traitement de texte
990,audacity|movie-maker|zotero|evernote|nvivo|excel|powerpoint|gimp
996,traitement de texte|tableur|cr viewer
998,zotero|calibre
999,latex
1006,word
1010,excel|word
1011,office
1022,
1036,traitement de texte
1041,word|excel|indesign
1045,eprime|qualtrics|sphinx|spss|r|jasp|jamovi|r|excel
1049,inquisit|surveymonkey|psytoolkit|r
1060,word
1064,matlab|r|excel|origin|microsoft visio|microsoft timeline
1066,powerpoint
1068,excel|access|r|spad|powerpoint
1071,google forms|spss|pls|amos|excel|nvivo
1074,spss|statistica|amos|r
1075,limesurvey|spss|jamovi|jasp|excel
1076,word
1077,word
1078,
1079,word
1081,word
